real_gdp,real_gdp_growth,date
86690,4.615941591745609,1966-12-01
90073,9.012901507999892,1967-03-01
89946,7.387951001695359,1967-06-01
91637,6.398764600701301,1967-09-01
92432,6.62360133810127,1967-12-01
91609,1.7052834922784754,1968-03-01
95136,5.770128743913006,1968-06-01
96393,5.190043323111837,1968-09-01
99987,8.173576250649116,1968-12-01
99294,8.388913753015537,1969-03-01
101262,6.439202825428869,1969-06-01
102937,6.788874710819259,1969-09-01
105309,5.322691949953495,1969-12-01
107497,8.261324954176485,1970-03-01
109660,8.293338073512269,1970-06-01
109432,6.309684564345175,1970-09-01
109955,4.411778670389044,1970-12-01
111284,3.5228890108561117,1971-03-01
111765,1.9195695786977884,1971-06-01
115277,5.341216463191745,1971-09-01
114905,4.501841662498296,1971-12-01
113511,2.001186154343837,1972-03-01
116053,3.836621482575042,1972-06-01
115464,0.16221796195250437,1972-09-01
116681,1.5456246464470746,1972-12-01
119694,5.447049184660524,1973-03-01
119924,3.3355449665239068,1973-06-01
121129,4.906291138363472,1973-09-01
124150,6.401213565190567,1973-12-01
124174,3.7428776713953837,1974-03-01
121669,1.4550882225409456,1974-06-01
123130,1.6519578300819848,1974-09-01
123246,-0.7281514297221126,1974-12-01
123734,-0.3543414885563756,1975-03-01
127641,4.9083990170051495,1975-06-01
126243,2.5282222041744573,1975-09-01
124330,0.8795417295490271,1975-12-01
129829,4.925889407923445,1976-03-01
130229,2.0275616768906435,1976-06-01
131285,3.993884809454773,1976-09-01
132430,6.514919971044808,1976-12-01
131709,1.4480586001586637,1977-03-01
133577,2.570855953743023,1977-06-01
133007,1.3116502266062424,1977-09-01
132591,0.12157366155705063,1977-12-01
133526,1.3795564464083698,1978-03-01
134621,0.7815716777588966,1978-06-01
136663,2.7487275105821496,1978-09-01
137797,3.92636000935207,1978-12-01
141568,6.022797058250817,1979-03-01
139300,3.475683585770417,1979-06-01
140594,2.8764186356219357,1979-09-01
143307,3.998635674216411,1979-12-01
143951,1.6832900090415936,1980-03-01
144324,3.6066044508255457,1980-06-01
145084,3.193592898701225,1980-09-01
147584,2.9845018038197724,1980-12-01
148154,2.91974352383797,1981-03-01
150452,4.246002050940945,1981-06-01
153476,5.784235339527455,1981-09-01
152862,3.576268430182128,1981-12-01
151623,2.3414825114407956,1982-03-01
152995,1.6902400765692605,1982-06-01
151973,-0.9793062107430472,1982-09-01
149567,-2.1555389828734395,1982-12-01
148065,-2.346609683227474,1983-03-01
147784,-3.405993659923523,1983-06-01
151907,-0.04342876695202502,1983-09-01
154436,3.2553972467188608,1983-12-01
158313,6.921284570965458,1984-03-01
160100,8.33378444215882,1984-06-01
161455,6.285424634809456,1984-09-01
162573,5.268849232044337,1984-12-01
164941,4.1866429162481955,1985-03-01
168583,5.2985633978763325,1985-06-01
170873,5.833204298411321,1985-09-01
170427,4.831060508202478,1985-12-01
171551,4.00749358861654,1986-03-01
171249,1.581416868842056,1986-06-01
171728,0.5003716210284725,1986-09-01
174577,2.435060172390524,1986-12-01
176249,2.7385442230007495,1987-03-01
179012,4.533165157168795,1987-06-01
182267,6.1370306531258745,1987-09-01
185943,6.510594179072848,1987-12-01
186749,5.957480609819066,1988-03-01
186882,4.396353317096069,1988-06-01
188425,3.3785600245793246,1988-09-01
191349,2.907342572723892,1988-12-01
193316,3.516484693358457,1989-03-01
197420,5.6388523239263355,1989-06-01
199021,5.623457609128302,1989-09-01
198488,3.7308791788825735,1989-12-01
200122,3.5206604730079194,1990-03-01
200391,1.5049133826360084,1990-06-01
199208,0.09395993387633084,1990-09-01
200362,0.9441376808673629,1990-12-01
197773,-1.1737839917650206,1991-03-01
197511,-1.4371902929772307,1991-06-01
198330,-0.44074535159230877,1991-09-01
198467,-0.9457881234964716,1991-12-01
199951,1.1012625585898883,1992-03-01
